时间周期,品类,dim_city_name,父单量,销量,金额,用户数
cycle,cat,city,pordernum,ordernum,money,usernum
2016-12,碳酸饮料,杭州市,2468,4583,193119.46999999558,2293
2016-12,碳酸饮料,武汉市,1556,2409,94624.46999999983,1385
2016-12,碳酸饮料,深圳市,3172,5096,191779.38999999437,2711
2016-12,碳酸饮料,西安市,752,1117,36588.560000000136,688
2016-12,运动相机,北京市,2891,6181,7068983.939999994,2421
2016-12,运动相机,成都市,433,758,805500.0299999999,370
2016-12,运动相机,杭州市,170,359,373269.73,152
2016-12,运动相机,武汉市,179,301,266934.1699999999,151
2016-12,运动相机,深圳市,739,1236,1208165.26,647
2016-12,运动相机,西安市,197,379,340261.74,163
2017-01,碳酸饮料,北京市,56900,107424,3618107.3499976937,50332
2017-01,碳酸饮料,成都市,3225,7495,164041.06999999483,2936
2017-01,碳酸饮料,杭州市,2970,5704,188632.1399999948,2582
2017-01,碳酸饮料,武汉市,4069,10896,224049.109999992,3644
2017-01,碳酸饮料,深圳市,4972,11289,283429.5399999879,4431
2017-01,碳酸饮料,西安市,1642,2306,91732.35999999927,1557
2017-01,运动相机,北京市,4125,9059,9818131.480000006,3322
2017-01,运动相机,成都市,666,1090,1011906.96,534
2017-01,运动相机,杭州市,218,364,338427.3,189
2017-01,运动相机,武汉市,244,409,413754.16,205
2017-01,运动相机,深圳市,716,1287,1089312.73,622
2017-01,运动相机,西安市,254,429,372012.69,211
2017-02,定位跟踪鞋,北京市,1,1,699.0,1
2017-02,定位跟踪鞋,成都市,1,1,399.0,1
2017-02,定位跟踪鞋,深圳市,2,3,1517.2,2
2017-02,碳酸饮料,北京市,38029,65380,1990943.2100003285,28308
2017-02,碳酸饮料,成都市,3106,4471,111309.56000000288,1575
2017-02,碳酸饮料,杭州市,3113,7403,249212.89999999138,2566
2017-02,碳酸饮料,武汉市,3976,6051,153721.47000000026,2027
2017-02,碳酸饮料,深圳市,4108,5802,205239.0399999904,2836
2017-02,碳酸饮料,西安市,1142,1582,50183.120000000665,795
2017-02,运动相机,北京市,2572,4845,5038259.379999999,2114
2017-02,运动相机,成都市,435,667,616776.76,365
2017-02,运动相机,杭州市,160,273,229220.6,138
2017-02,运动相机,武汉市,173,263,185258.59,148
2017-02,运动相机,深圳市,426,770,596311.99,360
2017-02,运动相机,西安市,160,262,200570.25999999998,134
2017-03,定位跟踪鞋,北京市,4,5,3095.0,4
2017-03,碳酸饮料,北京市,35442,67662,2248485.539999859,31258
2017-03,碳酸饮料,成都市,1889,3387,117726.91999999945,1675
2017-03,碳酸饮料,杭州市,2874,6573,233135.34999999354,2487
2017-03,碳酸饮料,武汉市,2229,3366,136021.9099999998,1819
2017-03,碳酸饮料,深圳市,4310,6448,267140.64999998774,3546
2017-03,碳酸饮料,西安市,1341,1962,79321.56000000011,1214
2017-03,运动相机,北京市,2437,7029,6596342.42,1992
2017-03,运动相机,成都市,408,687,547139.6699999999,349
2017-03,运动相机,杭州市,167,278,236549.79,138
2017-03,运动相机,武汉市,156,255,200126.7,145
2017-03,运动相机,深圳市,500,827,681969.4600000001,431
2017-03,运动相机,西安市,181,280,238151.68,162
2017-04,定位跟踪鞋,北京市,3,3,1497.0,3
2017-04,定位跟踪鞋,武汉市,1,1,399.0,1
2017-04,定位跟踪鞋,深圳市,1,1,699.0,1
2017-04,定位跟踪鞋,西安市,1,1,399.0,1
2017-04,碳酸饮料,北京市,38366,58467,2794043.3999990057,33850
2017-04,碳酸饮料,成都市,1634,2414,105436.37999999954,1504
2017-04,碳酸饮料,杭州市,2680,4667,196800.51999999414,2342
2017-04,碳酸饮料,武汉市,2275,3775,143788.59999999686,1992
2017-04,碳酸饮料,深圳市,4649,7786,291738.0699999967,4166
2017-04,碳酸饮料,西安市,1543,2237,96327.97999999917,1336
2017-04,运动相机,北京市,2233,5906,5603448.959999998,1821
2017-04,运动相机,成都市,1595,1803,972738.22,536
2017-04,运动相机,杭州市,172,276,214968.13,157
2017-04,运动相机,武汉市,184,277,199651.0,156
2017-04,运动相机,深圳市,1174,1406,836923.25,516
2017-04,运动相机,西安市,155,240,177631.68000000002,130
2017-05,定位跟踪鞋,北京市,1,1,399.0,1
2017-05,定位跟踪鞋,西安市,1,1,649.0,1
2017-05,碳酸饮料,北京市,70722,116870,5040908.629999308,60895
2017-05,碳酸饮料,成都市,3816,6087,258490.77999998763,3358
2017-05,碳酸饮料,杭州市,5329,11310,478245.3300000182,4318
2017-05,碳酸饮料,武汉市,3413,5071,215160.35999999093,2924
2017-05,碳酸饮料,深圳市,7703,13788,482372.77999999584,6629
2017-05,碳酸饮料,西安市,3175,5487,198728.8399999925,2697
2017-05,运动相机,北京市,2310,4763,4060982.93,1926
2017-05,运动相机,成都市,418,648,484775.6699999999,357
2017-05,运动相机,杭州市,201,358,297790.84,178
2017-05,运动相机,武汉市,189,298,242275.08000000002,169
2017-05,运动相机,深圳市,504,849,644168.01,447
2017-05,运动相机,西安市,185,301,261932.56999999998,160
2017-06,定位跟踪鞋,北京市,1,4,2237.2,1
2017-06,定位跟踪鞋,深圳市,2,2,1498.0,2
2017-06,定位跟踪鞋,西安市,1,1,399.0,1
2017-06,碳酸饮料,北京市,95661,199445,7869622.410003893,79539
2017-06,碳酸饮料,成都市,6083,13910,536088.6500000283,5205
2017-06,碳酸饮料,杭州市,6822,13276,566838.3800000297,5871
2017-06,碳酸饮料,武汉市,4857,7539,313449.95999999513,4302
2017-06,碳酸饮料,深圳市,12393,21611,754931.8300000784,10660
2017-06,碳酸饮料,西安市,4992,11849,363404.5800000041,4147
2017-06,运动相机,北京市,5617,13068,1.0941748520000009E7,4298
2017-06,运动相机,成都市,859,1450,1262533.64,701
2017-06,运动相机,杭州市,486,834,667249.1500000001,398
2017-06,运动相机,武汉市,466,776,645257.65,351
2017-06,运动相机,深圳市,1143,2361,1606371.19,854
2017-06,运动相机,西安市,452,799,647882.35,356
2017-07,定位跟踪鞋,北京市,1,1,399.0,1
2017-07,定位跟踪鞋,武汉市,2,2,1049.0,1
2017-07,定位跟踪鞋,深圳市,1,1,399.0,1
2017-07,碳酸饮料,北京市,66277,100434,4821952.839999172,56170
2017-07,碳酸饮料,成都市,5118,8934,386637.6600000038,4454
2017-07,碳酸饮料,杭州市,7200,13967,627590.4600000302,5945
2017-07,碳酸饮料,武汉市,3017,4909,212603.36999999447,2584
2017-07,碳酸饮料,深圳市,8710,14920,526771.0100000064,7446
2017-07,碳酸饮料,西安市,5334,9279,350139.4600000025,4349
2017-07,运动相机,北京市,2554,6421,5262228.130000002,2124
2017-07,运动相机,成都市,526,926,625733.46,454
2017-07,运动相机,杭州市,229,418,303021.28,203
2017-07,运动相机,武汉市,231,405,297316.32000000007,187
2017-07,运动相机,深圳市,559,1036,797623.61,485
2017-07,运动相机,西安市,240,481,320611.55000000005,212
2017-08,定位跟踪鞋,北京市,1,2,968.0,1
2017-08,定位跟踪鞋,深圳市,2,2,998.0,2
2017-08,碳酸饮料,北京市,47037,74922,3581457.6399985105,40716
2017-08,碳酸饮料,成都市,4141,7169,273495.0299999898,3560
2017-08,碳酸饮料,杭州市,5336,13251,570576.0200000154,4479
2017-08,碳酸饮料,武汉市,2334,4700,218402.59999999456,1962
2017-08,碳酸饮料,深圳市,6119,11022,361627.5200000016,5459
2017-08,碳酸饮料,西安市,3046,5576,210891.64999999484,2716
2017-08,运动相机,北京市,2857,6608,5185795.129999999,2430
2017-08,运动相机,成都市,506,912,686575.6400000001,431
2017-08,运动相机,杭州市,224,397,329280.58999999997,196
2017-08,运动相机,武汉市,197,330,233731.83000000002,168
2017-08,运动相机,深圳市,898,2202,1273045.05,530
2017-08,运动相机,西安市,189,371,252092.64,165
2017-09,定位跟踪鞋,北京市,2,2,968.0,2
2017-09,碳酸饮料,北京市,48355,80652,3442646.399998406,41781
2017-09,碳酸饮料,成都市,2726,4419,178045.89999999732,2233
2017-09,碳酸饮料,杭州市,4009,8417,382352.5199999952,3546
2017-09,碳酸饮料,武汉市,1886,4292,194987.6199999949,1668
2017-09,碳酸饮料,深圳市,3861,6811,248012.14999999042,3475
2017-09,碳酸饮料,西安市,2127,3540,121736.15999999957,1821
2017-09,运动相机,北京市,3244,6906,5982332.69,2701
2017-09,运动相机,成都市,575,969,779887.7000000002,488
2017-09,运动相机,杭州市,251,456,382841.32999999996,213
2017-09,运动相机,武汉市,227,395,326939.99,182
2017-09,运动相机,深圳市,889,1859,1312741.12,698
2017-09,运动相机,西安市,219,357,322422.79,183
2017-10,定位跟踪鞋,北京市,1,1,539.0,1
2017-10,定位跟踪鞋,武汉市,3,3,1337.0,3
2017-10,定位跟踪鞋,深圳市,1,1,639.0,1
2017-10,碳酸饮料,北京市,37300,60771,2446520.759999377,32860
2017-10,碳酸饮料,成都市,1641,2700,103863.54000000002,1446
2017-10,碳酸饮料,杭州市,2915,10482,451691.2900000089,2558
2017-10,碳酸饮料,武汉市,1786,2903,113864.54999999936,1583
2017-10,碳酸饮料,深圳市,7732,13453,474900.4600000122,6799
2017-10,碳酸饮料,西安市,1804,2992,94053.62999999948,1594
2017-10,运动相机,北京市,1836,3241,3141851.7800000003,1505
2017-10,运动相机,成都市,516,887,744495.13,441
2017-10,运动相机,杭州市,188,250,270645.0,159
2017-10,运动相机,武汉市,153,239,212334.8,131
2017-10,运动相机,深圳市,817,1373,1074274.96,697
2017-10,运动相机,西安市,136,203,223615.0,119
2017-11,定位跟踪鞋,北京市,2,2,791.9,2
2017-11,定位跟踪鞋,武汉市,1,1,799.0,1
2017-11,碳酸饮料,北京市,49210,87314,3307591.7699982785,42668
2017-11,碳酸饮料,成都市,1736,3027,109813.54000000068,1577
2017-11,碳酸饮料,杭州市,3481,11825,491005.16000001744,3010
2017-11,碳酸饮料,武汉市,2641,4323,141639.25999999666,2327
2017-11,碳酸饮料,深圳市,9527,24159,778214.1900000976,7424
2017-11,碳酸饮料,西安市,2202,4133,120424.62999999823,1862
2017-11,运动相机,北京市,4027,8582,8486935.5,3243
2017-11,运动相机,成都市,730,1275,1146551.9300000002,623
2017-11,运动相机,杭州市,306,513,459066.66,247
2017-11,运动相机,武汉市,315,626,530334.59,252
2017-11,运动相机,深圳市,1033,2223,1619638.8999999997,800
2017-11,运动相机,西安市,423,634,594597.8400000001,341
2017-12,定位跟踪鞋,杭州市,1,1,779.0,1
2017-12,定位跟踪鞋,深圳市,2,2,689.0,2
2017-12,碳酸饮料,北京市,52934,80064,3418974.5399980354,45489
2017-12,碳酸饮料,成都市,1483,2304,97431.53999999983,1338
2017-12,碳酸饮料,杭州市,3791,9291,345350.5499999978,3293
2017-12,碳酸饮料,武汉市,2760,4681,130170.93999999705,2223
2017-12,碳酸饮料,深圳市,5423,12853,369252.5000000087,4672
2017-12,碳酸饮料,西安市,2661,4997,112839.20999999976,2229
2017-12,运动相机,北京市,2972,6440,5552296.130000001,2484
